1|Novi sad|Srbija
2|Beograd|Srbija
3|Rim|Italija
4|Trst|Italija
5|Venecija|Italija
6|Valjevo|Srbija
7|Kragujevac|Srbija
8|Sabac|Srbija
9|Nis|Srbija
10|Kragujevac|Srbija
11|Jagodina|Srbija
12|Valjevo|Srbija
13|Kraljevo|Srbija
14|Ni�|Srbija
15|Novi Pazar|Srbija
16|Subotica|Srbija
17|Leskovac|Srbija
18|Zrenjanin|Srbija
19|Pancevo|Srbija
20|Cacak|Srbija
21|Paris|Francuska
22|New York|Sjedinjene Ameri�ke Dr�ave
23|Tokyo|Japan
24|London|Ujedinjeno Kraljevstvo
25|Rim|Italija
26|Sydney|Australija
27|Rio de Janeiro|Brazil
28|Moscow|Rusija
29|Cape Town|Ju�noafri�ka Republika
30|Dubai|Ujedinjeni Arapski Emirati
